Time da Casa,Posição do Time da Casa,Time Visitante,Posição do Time Visitante,Rodada,Data do Jogo,Hora do Jogo,Resultado Final - Time da Casa,Resultado Final - Time Visitante,Estádio,Público,Árbitro
Fortaleza EC,8,Coritiba FC,19,21,"dom, 27/08/23",18:30,3,1,Estádio Municipal Presidente Getúlio Vargas,12.467 torcedores,Matheus Delgado Candançan
Grêmio FBPA,3,Cruzeiro EC,13,21,"dom, 27/08/23",19:00,3,0,Arena do Grêmio,24.938 torcedores,Marcelo de Lima Henrique  (RJ)
Goiás EC,15,SC Internacional,14,22,"sáb, 02/09/23",16:00,0,0,Estádio Serra Dourada,11.038 torcedores,Braulio da Silva Machado
Athletico Paranaense,7,Atlético Mineiro,9,22,"sáb, 02/09/23",16:00,1,1,Ligga Arena,18.009 torcedores,Flavio Rodrigues de Souza
Botafogo FR,1,CR Flamengo,4,22,"sáb, 02/09/23",21:00,1,2,Estádio Olímpico Nilton Santos,40.769 torcedores,Raphael Claus
Grêmio FBPA,3,Cuiabá EC,11,22,"dom, 03/09/23",11:00,2,0,Arena do Grêmio,39.339 torcedores,Yuri Elino Ferreira da Cruz
Fluminense FC,5,Fortaleza EC,8,22,"dom, 03/09/23",16:00,1,0,Estádio General Sylvio Raulino de Oliveira,10.035 torcedores,André Luiz Skettino Policarpo Bento
SC Corinthians,12,SE Palmeiras,2,22,"dom, 03/09/23",16:00,0,0,Neo Química Arena,44.371 torcedores,Anderson Daronco
Cruzeiro EC,13,RB Bragantino,6,22,"dom, 03/09/23",18:30,0,0,Estádio Governador Magalhães Pinto,29.417 torcedores,Wagner do Nascimento Magalhães
EC Bahia,16,CR Vasco da Gama,18,22,"dom, 03/09/23",18:30,1,1,Arena Fonte Nova,46.705 torcedores,Ramon Abatti
América Mineiro,19,Santos FC,17,22,"dom, 03/09/23",18:30,2,0,Estádio Raimundo Sampaio,3.654 torcedores,Leandro Pedro Vuaden
São Paulo FC,10,Coritiba FC,20,22,"qua, 27/09/23",19:00,2,1,MorumBIS,31.720 torcedores,Savio Pereira Sampaio
CR Flamengo,4,Athletico Paranaense,7,23,"qua, 13/09/23",21:30,0,3,Estádio Estadual Kléber José de Andrade,20.670 torcedores,Rafael Rodrigo Klein
SC Internacional,13,São Paulo FC,10,23,"qua, 13/09/23",21:30,2,1,Estádio Beira-Rio,20.763 torcedores,Paulo Cesar Zanovelli
Santos FC,18,Cruzeiro EC,12,23,"qui, 14/09/23",19:00,0,3,Estádio Urbano Caldeira,12.244 torcedores,Braulio da Silva Machado
Fortaleza EC,8,SC Corinthians,14,23,"qui, 14/09/23",19:00,2,1,Estádio Municipal Presidente Getúlio Vargas,32.690 torcedores,Rodrigo Jose Pereira de Lima
Coritiba FC,20,EC Bahia,15,23,"qui, 14/09/23",20:00,2,4,Estádio Major Antônio Couto Pereira,22.961 torcedores,Wagner do Nascimento Magalhães
RB Bragantino,5,Grêmio FBPA,3,23,"qui, 14/09/23",21:30,2,0,Estádio Nabi Abi Chedid,5.088 torcedores,André Luiz Skettino Policarpo Bento
Cuiabá EC,11,América Mineiro,19,23,"sex, 15/09/23",20:00,2,2,Arena Pantanal,8.509 torcedores,Bruno Arleu de Araújo
SE Palmeiras,2,Goiás EC,16,23,"sex, 15/09/23",21:30,1,0,Allianz Parque,38.146 torcedores,Savio Pereira Sampaio
CR Vasco da Gama,17,Fluminense FC,6,23,"sáb, 16/09/23",16:00,4,2,Estádio Olímpico Nilton Santos,35.850 torcedores,Raphael Claus
Atlético Mineiro,9,Botafogo FR,1,23,"sáb, 16/09/23",21:00,1,0,Arena MRV,31.729 torcedores,Ramon Abatti
EC Bahia,17,Santos FC,18,24,"seg, 18/09/23",20:00,1,2,Arena Fonte Nova,41.431 torcedores,Ramon Abatti
América Mineiro,19,RB Bragantino,4,24,"ter, 19/09/23",21:30,0,2,Estádio Raimundo Sampaio,2.247 torcedores,Marcelo de Lima Henrique  (RJ)
Goiás EC,16,CR Flamengo,7,24,"qua, 20/09/23",19:00,0,0,Estádio Serra Dourada,13.799 torcedores,Raphael Claus
Fluminense FC,5,Cruzeiro EC,13,24,"qua, 20/09/23",21:30,1,0,Estádio Jornalista Mário Filho,28.985 torcedores,Matheus Delgado Candançan
São Paulo FC,10,Fortaleza EC,8,24,"qua, 20/09/23",21:30,1,2,MorumBIS,24.777 torcedores,Yuri Elino Ferreira da Cruz
CR Vasco da Gama,15,Coritiba FC,20,24,"qui, 21/09/23",19:00,5,1,Estádio São Januário,20.321 torcedores,Flavio Rodrigues de Souza
Athletico Paranaense,6,SC Internacional,14,24,"qui, 21/09/23",19:30,2,1,Ligga Arena,25.967 torcedores,Wagner do Nascimento Magalhães
Grêmio FBPA,3,SE Palmeiras,2,24,"qui, 21/09/23",21:30,1,0,Arena do Grêmio,29.057 torcedores,Bruno Arleu de Araújo
SC Corinthians,11,Botafogo FR,1,24,"sex, 22/09/23",20:00,1,0,Neo Química Arena,37.543 torcedores,Paulo Cesar Zanovelli
Atlético Mineiro,9,Cuiabá EC,12,24,"sáb, 23/09/23",21:00,1,0,Arena MRV,36.104 torcedores,Rodrigo Jose Pereira de Lima
CR Flamengo,5,EC Bahia,18,25,"sáb, 30/09/23",16:00,1,0,Estádio Jornalista Mário Filho,46.472 torcedores,Savio Pereira Sampaio
Fortaleza EC,9,Grêmio FBPA,3,25,"sáb, 30/09/23",16:00,1,1,Estádio Governador Plácido Castelo,23.634 torcedores,Raphael Claus
São Paulo FC,10,SC Corinthians,13,25,"sáb, 30/09/23",18:30,2,1,MorumBIS,56.735 torcedores,Flavio Rodrigues de Souza
Cuiabá EC,11,Fluminense FC,6,25,"sáb, 30/09/23",18:30,3,0,Arena Pantanal,8.358 torcedores,Paulo Cesar Zanovelli
